Duration,Protocol_Type,Service,Flag,src_bytes,dst_bytes,Class
526,ICMP,ftp,attack,3424,4113,attack
780,TCP,http,normal,4006,1077,normal
466,ICMP,smtp,attack,1672,2934,attack
790,ICMP,dns,attack,2149,3295,attack
394,TCP,smtp,normal,635,3220,normal
214,ICMP,ftp,attack,1034,3654,attack
255,UDP,pop3,attack,1048,2345,attack
456,UDP,dns,normal,2387,4415,normal
487,UDP,smtp,attack,1408,1205,attack
488,TCP,dns,normal,619,2287,normal
33,ICMP,http,attack,3597,4824,attack
352,UDP,http,normal,3433,2799,normal
883,ICMP,pop3,normal,1517,2096,normal
498,ICMP,ftp,attack,4844,2516,attack
862,TCP,ftp,normal,1016,3729,normal
788,UDP,pop3,normal,1715,4355,normal
982,UDP,smtp,normal,270,3251,normal
714,ICMP,dns,normal,2507,2571,normal
940,TCP,ftp,normal,1749,2005,normal
392,UDP,http,attack,1562,3300,attack
545,ICMP,smtp,attack,311,1453,attack
288,ICMP,smtp,attack,803,1189,attack
470,TCP,pop3,normal,1014,2334,normal
812,UDP,ftp,normal,936,2553,normal
239,UDP,ftp,attack,2654,1739,attack
142,TCP,http,attack,795,708,attack
157,ICMP,ftp,attack,1350,2733,attack
634,ICMP,ftp,normal,1705,4992,normal
254,TCP,pop3,normal,1302,3464,normal
165,UDP,dns,attack,3852,4718,attack
286,ICMP,ftp,attack,4139,339,attack
704,ICMP,pop3,normal,4563,3911,normal
563,UDP,ftp,attack,3296,1947,attack
798,UDP,smtp,normal,3650,4937,normal
91,UDP,dns,normal,1950,527,normal
157,TCP,smtp,attack,4187,4963,attack
596,UDP,smtp,normal,3917,3111,normal
357,TCP,dns,normal,538,857,normal
310,TCP,pop3,normal,809,920,normal
962,UDP,http,attack,3642,2845,attack
25,TCP,dns,attack,152,4068,attack
877,ICMP,pop3,attack,1248,1745,attack
559,TCP,pop3,attack,387,1844,attack
109,UDP,http,normal,674,2914,normal
1,ICMP,http,attack,4670,2381,attack
884,ICMP,smtp,attack,4594,1104,attack
931,TCP,http,attack,4640,2731,attack
418,ICMP,dns,attack,2716,4320,attack
162,UDP,pop3,attack,4261,2010,attack
66,UDP,pop3,attack,4733,109,attack
94,ICMP,pop3,normal,3221,3479,normal
421,UDP,dns,normal,2766,4749,normal
70,TCP,http,normal,4050,625,normal
967,TCP,smtp,normal,589,3193,normal
70,TCP,smtp,attack,4265,4894,attack
11,UDP,dns,attack,3271,698,attack
877,TCP,pop3,normal,3266,4680,normal
385,TCP,http,normal,4721,2825,normal
209,UDP,pop3,attack,2162,3041,attack
741,TCP,smtp,attack,3288,2885,attack
355,ICMP,ftp,attack,2644,2474,attack
472,ICMP,ftp,attack,926,3574,attack
298,UDP,ftp,normal,4354,4445,normal
916,ICMP,dns,normal,3258,2253,normal
211,TCP,ftp,normal,1270,438,normal
506,ICMP,pop3,normal,1861,4438,normal
391,TCP,dns,normal,1987,4929,normal
349,ICMP,dns,attack,3534,5000,attack
537,TCP,ftp,normal,4378,1522,normal
869,TCP,smtp,normal,473,4207,normal
920,ICMP,http,attack,2612,3696,attack
981,TCP,http,attack,3211,956,attack
265,UDP,pop3,attack,557,1554,attack
87,UDP,http,attack,1207,2522,attack
817,TCP,pop3,attack,3983,3454,attack
417,TCP,http,normal,2906,4786,normal
409,TCP,ftp,normal,1455,4978,normal
356,UDP,smtp,normal,3345,4208,normal
358,UDP,pop3,normal,3683,2913,normal
270,TCP,dns,attack,1796,936,attack
964,TCP,http,attack,3183,4293,attack
818,UDP,ftp,normal,537,4559,normal
335,TCP,smtp,attack,3059,4072,attack
373,ICMP,pop3,attack,2033,345,attack
106,TCP,ftp,normal,2402,2646,normal
946,TCP,dns,normal,4490,4024,normal
769,TCP,ftp,attack,3402,1487,attack
127,ICMP,dns,normal,1954,685,normal
814,UDP,pop3,attack,4791,2813,attack
704,ICMP,http,attack,1651,3602,attack
604,TCP,http,attack,3390,2841,attack
904,ICMP,http,attack,3166,4707,attack
662,UDP,dns,normal,3126,3729,normal
87,TCP,dns,normal,2214,1856,normal
14,UDP,smtp,attack,4097,4206,attack
362,TCP,ftp,normal,2175,1848,normal
579,ICMP,dns,normal,4334,3422,normal
115,UDP,ftp,normal,1466,3698,normal
296,UDP,http,normal,730,4234,normal
141,ICMP,http,attack,4967,2608,attack
